district,division,population_2022,area_km2
Dhaka,Dhaka,14734701,1464
Faridpur,Dhaka,2162876,2053
Tangail,Dhaka,4037608,3414
Gazipur,Dhaka,5263474,1806
Narayanganj,Dhaka,3909138,684
Kishoreganj,Dhaka,3267630,2689
Narsingdi,Dhaka,2584452,1150
Munshiganj,Dhaka,1625418,1004
Manikganj,Dhaka,1558024,1384
Gopalganj,Dhaka,1295053,1469
Shariatpur,Dhaka,1294561,1174
Madaripur,Dhaka,1293027,1125
Rajbari,Dhaka,1189821,1092
Chattogram,Chattogram,9169464,5283
Cumilla,Chattogram,6212216,3146
Noakhali,Chattogram,3625252,3686
Rangamati,Chattogram,647587,6116
Bandarban,Chattogram,481109,4479
Khagrachhari,Chattogram,714119,2749
Brahmanbaria,Chattogram,3306559,1881
Cox's Bazar,Chattogram,2823265,2492
Chandpur,Chattogram,2635748,1645
Lakshmipur,Chattogram,1938111,1440
Feni,Chattogram,1648896,990
Rajshahi,Rajshahi,2915013,2425
Bogura,Rajshahi,3734300,2899
Pabna,Rajshahi,2909622,2376
Joypurhat,Rajshahi,956430,1012
Sirajganj,Rajshahi,3357708,2402
Naogaon,Rajshahi,2784598,3436
Natore,Rajshahi,1859921,1900
Chapai Nawabganj,Rajshahi,1835527,1703
Jashore,Khulna,3076849,2607
Khulna,Khulna,2613385,4394
Kushtia,Khulna,2149692,1609
Satkhira,Khulna,2196581,3817
Jhenaidah,Khulna,1771304,1965
Bagerhat,Khulna,1613079,3959
Chuadanga,Khulna,1234066,1174
Magura,Khulna,1033115,1039
Narail,Khulna,788673,968
Meherpur,Khulna,705356,742
Barishal,Barishal,2570450,2785
Patuakhali,Barishal,1727254,3221
Bhola,Barishal,1932514,3403
Pirojpur,Barishal,1198193,1278
Barguna,Barishal,1010530,1831
Jhalokati,Barishal,661161,707
Sylhet,Sylhet,3857037,3452
Sunamganj,Sylhet,2695495,3747
Habiganj,Sylhet,2358886,2637
Moulvibazar,Sylhet,2123445,2799
Rangpur,Rangpur,3169615,2401
Nilphamari,Rangpur,3092567,1547
Dinajpur,Rangpur,3315238,3444
Thakurgaon,Rangpur,1533894,1781
Gaibandha,Rangpur,2562232,2115
Kurigram,Rangpur,2329161,2245
Lalmonirhat,Rangpur,1428406,1247
Panchagarh,Rangpur,1179843,1405
Mymensingh,Mymensingh,5899052,4395
Jamalpur,Mymensingh,2499737,2115
Netrokona,Mymensingh,2324856,2794
Sherpur,Mymensingh,1501853,1365
